"sep=	"
Shimmer_Timestamp	Shimmer_EMG_ENV	Shimmer_EMG_RAW	Shimmer_EMG_REF
hh:mm:ss	unit	unit	unit
13:27:12	117	1760	537
13:27:12	118	1760	534
13:27:12	123	1771	542
13:27:12	121	1761	539
13:27:12	119	1762	541
13:27:12	118	1762	534
13:27:12	118	1760	533
13:27:12	118	1761	534
13:27:12	114	1760	534
13:27:12	117	1761	537
13:27:12	121	1761	540
13:27:12	118	1759	538
13:27:12	121	1760	530
13:27:12	117	1759	539
13:27:12	119	1761	534
13:27:12	118	1754	537
13:27:12	121	1762	528
13:27:12	92	1762	283
13:27:12	77	1762	301
13:27:12	80	1762	323
13:27:12	78	1762	346
13:27:12	75	1765	367
13:27:12	69	1762	370
13:27:12	71	1763	394
13:27:12	70	1761	401
13:27:12	74	1763	415
13:27:12	70	1760	419
13:27:12	75	1762	432
13:27:12	75	1762	438
13:27:12	84	1763	449
13:27:12	73	1763	448
13:27:12	78	1762	453
13:27:12	79	1761	464
13:27:12	80	1765	466
13:27:12	80	1762	471
13:27:12	82	1765	477
13:27:12	82	1762	478
13:27:12	83	1763	488
13:27:12	83	1762	484
13:27:12	92	1763	494
13:27:12	88	1761	493
13:27:12	93	1751	496
13:27:12	90	1762	496
13:27:12	95	1763	499
13:27:12	95	1763	499
13:27:12	94	1765	505
13:27:12	92	1763	498
13:27:12	94	1760	500
13:27:12	96	1761	502
13:27:12	96	1761	504
13:27:12	97	1763	510
13:27:12	102	1762	511
13:27:12	100	1759	511
13:27:12	105	1761	506
13:27:12	102	1761	509
13:27:12	101	1761	511
13:27:12	103	1761	511
13:27:12	102	1763	511
13:27:12	107	1762	511
13:27:12	106	1759	511
13:27:12	107	1763	511
13:27:12	107	1761	510
13:27:12	112	1759	511
13:27:12	109	1763	511
13:27:12	101	1762	511
13:27:12	111	1761	528
13:27:12	109	1761	525
13:27:12	109	1761	522
13:27:12	107	1758	511
13:27:12	103	1763	511
13:27:12	106	1759	522
13:27:12	106	1760	524
13:27:12	108	1760	523
13:27:12	106	1760	527
13:27:12	111	1759	524
13:27:12	109	1759	509
13:27:12	111	1761	527
13:27:12	107	1761	523
13:27:12	110	1761	525
13:27:12	107	1761	524
13:27:12	111	1759	528
13:27:12	111	1759	528
13:27:12	110	1763	524
13:27:12	110	1760	527
13:27:12	110	1760	528
13:27:12	110	1761	511
13:27:12	110	1762	511
13:27:12	110	1762	511
13:27:12	115	1759	528
13:27:12	111	1759	528
13:27:12	112	1760	528
13:27:12	112	1761	528
13:27:12	101	1763	528
13:27:12	112	1760	511
13:27:12	112	1761	524
13:27:12	113	1762	528
13:27:12	112	1760	527
13:27:12	111	1759	528
13:27:12	112	1751	524
13:27:12	112	1761	528
13:27:12	112	1763	529
13:27:12	109	1765	528
13:27:12	113	1761	528
13:27:12	112	1761	528
13:27:12	112	1762	529
13:27:12	111	1760	526
13:27:12	112	1759	523
13:27:12	109	1761	511
13:27:12	109	1762	524
13:27:12	107	1763	528
13:27:12	112	1760	527
13:27:12	112	1760	528
13:27:12	112	1761	511
13:27:12	110	1758	528
13:27:12	106	1760	523
13:27:12	111	1760	511
13:27:12	111	1761	511
13:27:12	110	1759	528
13:27:12	114	1760	529
13:27:12	109	1759	511
13:27:12	110	1759	524
13:27:12	106	1761	527
13:27:12	109	1759	527
13:27:12	111	1759	528
13:27:12	110	1759	528
13:27:12	107	1759	528
13:27:12	109	1763	528
13:27:12	112	1759	528
13:27:12	107	1761	526
13:27:12	108	1761	526
13:27:12	106	1761	525
13:27:12	108	1759	527
13:27:12	111	1760	527
13:27:12	110	1759	527
13:27:12	109	1761	526
13:27:12	109	1760	526
13:27:12	103	1760	511
13:27:12	110	1766	526
13:27:12	108	1760	525
13:27:12	112	1761	528
13:27:12	112	1760	525
13:27:12	112	1763	530
13:27:12	112	1759	526
13:27:12	112	1761	528
13:27:12	109	1760	511
13:27:12	108	1762	511
13:27:12	109	1759	525
13:27:12	111	1760	528
13:27:12	112	1759	527
13:27:12	111	1759	528
13:27:12	112	1760	526
13:27:12	112	1762	528
13:27:12	109	1760	511
13:27:12	110	1759	511
13:27:12	110	1760	525
13:27:12	111	1761	527
13:27:12	112	1761	526
13:27:12	113	1761	528
13:27:12	112	1761	526
13:27:12	113	1765	528
13:27:12	111	1759	526
13:27:12	109	1759	511
13:27:12	110	1761	532
13:27:12	112	1760	528
13:27:12	112	1755	527
13:27:12	112	1761	528
13:27:12	112	1760	526
13:27:12	112	1761	524
13:27:12	109	1760	523
13:27:12	110	1757	509
13:27:12	111	1760	528
13:27:12	112	1760	526
13:27:12	112	1760	527
13:27:12	115	1761	526
13:27:12	112	1770	525
13:27:12	112	1763	526
13:27:12	112	1759	525
13:27:12	112	1762	524
13:27:12	111	1760	526
13:27:12	112	1759	527
13:27:12	112	1760	526
13:27:12	112	1760	524
13:27:12	111	1761	528
13:27:12	112	1759	526
13:27:12	112	1761	525
13:27:12	112	1762	527
13:27:12	111	1762	526
13:27:12	111	1763	525
13:27:12	112	1761	527
13:27:12	112	1760	526
13:27:12	112	1761	525
13:27:12	112	1761	523
13:27:12	111	1761	524
13:27:12	112	1763	526
13:27:12	112	1762	525
13:27:12	112	1763	525
13:27:12	111	1760	526
13:27:12	111	1761	527
13:27:12	112	1762	526
13:27:12	112	1761	525
13:27:12	112	1761	525
13:27:12	112	1761	525
13:27:12	112	1761	528
13:27:12	112	1764	528
13:27:12	112	1761	528
13:27:12	111	1761	527
13:27:12	112	1762	528
13:27:12	112	1763	527
13:27:12	112	1764	528
13:27:12	112	1762	526
13:27:12	109	1762	524
13:27:12	111	1763	527
13:27:12	111	1764	528
13:27:12	112	1762	528
13:27:12	112	1763	527
13:27:12	112	1763	525
13:27:12	112	1763	528
13:27:12	112	1763	526
13:27:12	112	1763	527
13:27:12	112	1762	526
13:27:12	112	1761	526
13:27:12	112	1763	528
13:27:12	112	1763	526
13:27:12	112	1765	528
13:27:12	113	1762	525
13:27:12	111	1762	526
13:27:12	112	1761	528
13:27:12	111	1763	527
13:27:12	112	1762	527
13:27:12	112	1763	527
13:27:12	112	1765	528
13:27:12	112	1761	528
13:27:12	112	1760	528
13:27:12	112	1762	529
13:27:12	112	1762	529
13:27:12	112	1760	529
13:27:12	115	1765	528
13:27:12	114	1763	531
13:27:12	113	1763	533
13:27:12	113	1761	531
13:27:12	116	1764	529
13:27:12	116	1763	533
13:27:12	114	1763	534
13:27:12	114	1765	538
13:27:12	115	1765	539
13:27:12	117	1762	538
13:27:12	118	1765	541
13:27:12	113	1764	530
13:27:12	91	1763	357
13:27:12	89	1763	375
13:27:12	85	1763	389
13:27:12	83	1765	401
13:27:12	82	1763	416
13:27:12	81	1763	429
13:27:12	80	1765	438
13:27:12	80	1763	447
13:27:12	81	1763	454
13:27:12	82	1765	463
13:27:12	85	1766	464
13:27:12	85	1765	471
13:27:12	87	1765	479
13:27:12	89	1764	486
13:27:12	93	1765	491
13:27:12	90	1765	494
13:27:12	91	1763	496
13:27:12	93	1763	497
13:27:12	96	1766	506
13:27:12	96	1763	505
13:27:12	16	1769	66
13:27:12	1	1763	112
13:27:12	2	1763	146
13:27:12	0	1764	184
13:27:12	0	1766	213
13:27:12	0	1755	235
13:27:12	0	1763	257
13:27:12	5	1763	279
13:27:12	6	1764	300
13:27:12	9	1762	317
13:27:12	5	1763	336
13:27:12	16	1765	342
13:27:12	21	1762	359
13:27:12	20	1764	363
13:27:12	26	1764	375
13:27:12	29	1762	384
13:27:12	34	1765	395
13:27:12	37	1765	400
13:27:12	41	1760	406
13:27:12	43	1762	415
13:27:12	48	1763	421
13:27:12	51	1763	427
13:27:12	54	1763	433
13:27:12	58	1763	435
13:27:12	62	1766	443
13:27:12	61	1762	439
13:27:12	66	1764	453
13:27:12	67	1762	450
13:27:12	70	1767	448
13:27:12	67	1762	453
13:27:12	76	1763	462
13:27:12	72	1763	464
13:27:12	74	1760	465
13:27:12	77	1763	465
13:27:12	81	1761	470
13:27:12	80	1763	473
13:27:12	80	1762	468
13:27:12	80	1763	485
13:27:12	81	1762	483
13:27:12	80	1763	479
13:27:12	83	1760	475
13:27:12	83	1761	482
13:27:12	83	1759	486
13:27:12	86	1762	487
13:27:12	86	1761	486
13:27:12	87	1759	489
13:27:12	87	1763	490
13:27:12	87	1762	492
13:27:12	90	1761	494
13:27:12	90	1764	495
13:27:12	90	1762	496
13:27:12	94	1762	497
13:27:12	95	1763	498
13:27:12	96	1763	500
13:27:12	97	1762	502
13:27:12	96	1762	502
13:27:12	98	1763	507
